epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4313,1.08746,1.1392,1.08794,0.24212,0.8805,0.24135,0.18441,0.85373,4.23278,0.94561,0.00065942,0.00065942,0.00065942
2,26.2437,1.00242,0.6403,1.05612,0.98912,0.96226,0.9909,0.77161,0.83487,0.54702,0.96308,0.00128233,0.00128233,0.00128233
3,37.7924,1.01065,0.63014,1.05955,0.97419,0.94969,0.98525,0.77786,0.84556,0.57303,1.00813,0.00186123,0.00186123,0.00186123
4,49.3936,0.96913,0.59275,1.04429,0.85281,0.8805,0.90079,0.62511,1.11064,0.73945,1.1031,0.001802,0.001802,0.001802
5,60.9208,0.93866,0.54806,1.02927,0.9979,0.97484,0.9899,0.69682,1.11288,0.49571,1.06769,0.001736,0.001736,0.001736
6,72.435,0.93426,0.55881,1.03708,0.99576,0.97484,0.99352,0.79603,0.76476,0.42265,0.94654,0.00167,0.00167,0.00167
7,84.0067,0.89352,0.50948,1.00823,0.99257,0.98742,0.98688,0.79775,0.79481,0.46337,0.95066,0.001604,0.001604,0.001604
8,95.6378,0.8676,0.49958,1.01133,0.99258,0.98742,0.99475,0.8094,0.75042,0.41264,0.93764,0.001538,0.001538,0.001538
9,107.791,0.84565,0.47462,1.00031,0.99322,0.98742,0.99196,0.84051,0.68582,0.39542,0.92673,0.001472,0.001472,0.001472
10,120.367,0.80638,0.45068,0.98543,0.99931,0.98742,0.99419,0.83601,0.69516,0.37299,0.93726,0.001406,0.001406,0.001406
11,132.08,0.79694,0.44975,0.97346,0.99912,0.98742,0.98699,0.8485,0.63992,0.35724,0.91007,0.00134,0.00134,0.00134
12,143.681,0.80693,0.44483,0.97757,0.99856,0.98742,0.99452,0.83653,0.67657,0.3711,0.91513,0.001274,0.001274,0.001274
13,155.188,0.79726,0.42871,0.97932,0.98749,0.99318,0.99481,0.8308,0.71918,0.36728,0.92149,0.001208,0.001208,0.001208
14,166.751,0.75642,0.41195,0.9584,0.9875,0.99348,0.99488,0.8581,0.61782,0.33556,0.9028,0.001142,0.001142,0.001142
15,178.368,0.73229,0.39122,0.95127,0.98637,0.99371,0.99334,0.83204,0.7028,0.36003,0.93125,0.001076,0.001076,0.001076
16,190.05,0.75705,0.39545,0.97448,0.98865,0.98742,0.99469,0.83485,0.7212,0.35797,0.93521,0.00101,0.00101,0.00101
17,201.523,0.73179,0.39573,0.95468,0.99265,0.99371,0.99487,0.86368,0.61922,0.34095,0.90441,0.000944,0.000944,0.000944
18,213.123,0.69938,0.37954,0.93016,1,0.98654,0.99458,0.86296,0.61817,0.31486,0.9011,0.000878,0.000878,0.000878
19,224.791,0.67514,0.36191,0.93299,0.98757,0.9993,0.99488,0.86983,0.59448,0.31621,0.89755,0.000812,0.000812,0.000812
20,236.417,0.66,0.3531,0.92715,0.99954,0.98742,0.99429,0.87498,0.58191,0.32169,0.88488,0.000746,0.000746,0.000746
21,271.19,0.65993,0.33308,0.9271,0.99292,0.98742,0.99444,0.8684,0.58761,0.32667,0.90918,0.00068,0.00068,0.00068
22,282.84,0.67187,0.3347,0.9367,0.99307,0.98742,0.99404,0.86714,0.61324,0.33304,0.8998,0.000614,0.000614,0.000614
23,294.046,0.6524,0.32531,0.93357,0.99327,0.98742,0.99481,0.88219,0.57742,0.3072,0.89024,0.000548,0.000548,0.000548
24,305.322,0.62904,0.31569,0.92772,0.99361,0.98742,0.99481,0.86958,0.60356,0.30124,0.89475,0.000482,0.000482,0.000482
25,316.542,0.60826,0.3077,0.90663,0.99942,0.98742,0.99481,0.88825,0.53588,0.29882,0.87441,0.000416,0.000416,0.000416
26,327.922,0.58327,0.30177,0.90364,0.98749,0.99309,0.99488,0.88772,0.54937,0.29288,0.88152,0.00035,0.00035,0.00035
27,339.298,0.57098,0.28835,0.88936,0.9927,0.98742,0.99197,0.88594,0.54491,0.29044,0.87965,0.000284,0.000284,0.000284
28,350.654,0.55588,0.28087,0.89597,0.99558,0.98742,0.99363,0.88756,0.55365,0.28532,0.88921,0.000218,0.000218,0.000218
29,361.905,0.56188,0.27732,0.89547,0.99839,0.98742,0.99213,0.8899,0.54639,0.287,0.88388,0.000152,0.000152,0.000152
30,373.239,0.53844,0.26989,0.8842,1,0.9874,0.99201,0.89074,0.54342,0.27608,0.87679,8.6e-05,8.6e-05,8.6e-05
